ID,Pred
2014_1107_1110,0.9563577559271202
2014_1107_1112,0.9999997338371878
2014_1107_1113,0.9672557714036125
2014_1107_1124,0.9893692433447852
2014_1107_1140,0.9834493200778869
2014_1107_1142,0.0006483910183645653
2014_1107_1153,0.9999821911689282
2014_1107_1157,0.3489872755147025
2014_1107_1160,0.9734280067539864
2014_1107_1163,0.9998420902600237
2014_1107_1166,0.9999723012287183
2014_1107_1173,0.9947680888164806
2014_1107_1174,0.9958317154801265
2014_1107_1181,0.9999648826704544
2014_1107_1184,0.9872221688704799
2014_1107_1196,0.9999998726532573
2014_1107_1203,0.9983212414407041
2014_1107_1211,0.9999819208528853
2014_1107_1217,0.9999770386689711
2014_1107_1234,0.9960567169387667
2014_1107_1235,0.9997330574264919
2014_1107_1242,0.999388572041219
2014_1107_1243,0.8963861186266359
2014_1107_1246,0.9995112562671568
2014_1107_1257,0.9999999509195836
2014_1107_1264,0.9993122405876265
2014_1107_1269,0.9952444481525411
2014_1107_1272,0.9907114221750466
2014_1107_1273,0.9991735310069382
2014_1107_1276,0.9998022386381691
2014_1107_1277,0.9999301642392384
2014_1107_1291,0.012047824588451581
2014_1107_1295,0.9981295627618076
2014_1107_1300,0.9999909699035657
2014_1107_1301,0.815407807137586
2014_1107_1304,0.6666470565749546
2014_1107_1307,0.9999334226834834
2014_1107_1308,0.9997544471973383
2014_1107_1314,0.9969765279381358
2014_1107_1326,0.999836313070907
2014_1107_1328,0.992686429108586
2014_1107_1329,0.9967796481698897
2014_1107_1332,0.9970209377950934
2014_1107_1338,0.9998897286549484
2014_1107_1344,0.9821681002433357
2014_1107_1361,0.9999891082395758
2014_1107_1372,0.9999990246107039
2014_1107_1386,0.9950181067172301
2014_1107_1387,0.9996822153978793
2014_1107_1390,0.9572122162788863
2014_1107_1393,0.9999770445232379
2014_1107_1397,0.9934749594876285
2014_1107_1400,0.9853011648493885
2014_1107_1409,0.9652633420774686
2014_1107_1411,0.3673931495469441
2014_1107_1417,0.9999190950510272
2014_1107_1418,0.8217900013475495
2014_1107_1433,0.9998639668209645
2014_1107_1437,0.9999937121927862
2014_1107_1438,0.9999938240240273
2014_1107_1444,0.9789753208169002
2014_1107_1451,0.5998723863782381
2014_1107_1454,0.3910649770905802
2014_1107_1455,0.9999999821417264
2014_1107_1458,0.9999130786702921
2014_1107_1459,0.44409822652163106
2014_1107_1462,0.9511810575441154
2014_1110_1112,0.9999941674525572
2014_1110_1113,0.5741075096173613
2014_1110_1124,0.8094144229686129
2014_1110_1140,0.7305731456220175
2014_1110_1142,2.9606869888328603e-05
2014_1110_1153,0.9996098900621239
2014_1110_1157,0.023878694880550076
2014_1110_1160,0.6257108149909062
2014_1110_1163,0.9965510224850117
2014_1110_1166,0.9993933721851062
2014_1110_1173,0.896657615107329
2014_1110_1174,0.9159821199886268
2014_1110_1181,0.9992310183747023
2014_1110_1184,0.7790393413206324
2014_1110_1196,0.9999972093844782
2014_1110_1203,0.9644601542193258
2014_1110_1211,0.9996039709134957
2014_1110_1217,0.9994970765560515
2014_1110_1234,0.9201718357926346
2014_1110_1235,0.9941828085106874
2014_1110_1242,0.9867705913007381
2014_1110_1243,0.2830451258464639
2014_1110_1246,0.9893982400519326
2014_1110_1257,0.9999989244735045
2014_1110_1264,0.9851424335113087
2014_1110_1269,0.905215670600285
2014_1110_1272,0.8295627176717721
2014_1110_1273,0.982196823797352
2014_1110_1276,0.9956841904518918
2014_1110_1277,0.9984718803574767
2014_1110_1291,0.0005561830874589354
2014_1110_1295,0.9605550158044844
2014_1110_1300,0.9998021556284377
2014_1110_1301,0.16776269511710543
2014_1110_1304,0.08362772667775496
2014_1110_1307,0.9985430812611824
2014_1110_1308,0.994646551209751
2014_1110_1314,0.9376851727039963
2014_1110_1326,0.9964252707874126
2014_1110_1328,0.8609947467796001
2014_1110_1329,0.9338834534373225
2014_1110_1332,0.9385467940742619
2014_1110_1338,0.9975891200251087
2014_1110_1344,0.7153816454520595
2014_1110_1361,0.9997613768985517
2014_1110_1372,0.9999786261652592
2014_1110_1386,0.9011300674159015
2014_1110_1387,0.9930821778429286
2014_1110_1390,0.5051663104179863
2014_1110_1393,0.9994972047208873
2014_1110_1397,0.8741823316270824
2014_1110_1400,0.7536310266575049
2014_1110_1409,0.559097200077054
2014_1110_1411,0.025818078016218347
2014_1110_1417,0.9982300777103201
2014_1110_1418,0.17384989329622177
2014_1110_1433,0.9970274827714449
2014_1110_1437,0.9998622297545103
2014_1110_1438,0.9998646797386295
2014_1110_1444,0.6799850241058613
2014_1110_1451,0.06403351244912657
2014_1110_1454,0.028472127125226218
2014_1110_1455,0.9999996086614505
2014_1110_1458,0.9980986987977865
2014_1110_1459,0.03517360127768918
2014_1110_1462,0.4706536480203437
2014_1112_1113,7.862318510262577e-06
